Ishtar
Medusa, \(Rider Series\), \(Fate Series\)
Ereshkigal
Tamamo, \(Fate Series\)
Honami, \(Classroom Of The Elite Series\)
Airi, \(Classroom Of The Elite Series\)
Sae, \(Classroom Of The Elite Series\)
Kei, \(Classroom Of The Elite Series\)
Arisu, \(Classroom Of The Elite Series\)
Kikyou, \(Classroom Of The Elite Series\)
Hiyori, \(Classroom Of The Elite Series\)
Mikoto, \(Toaru Majutsu No Index Series\)
Misaki, \(Toaru Majutsu No Index Series\)
Kanzaki, \(Toaru Majutsu No Index Series\)
Shirai, \(Toaru Majutsu No Index Series\)
Index, \(Toaru Majutsu No Index Series\)
Emi, \(Hataraku Maou-sama! Series\)
Chiho, \(Hataraku Maou-sama! Series\)
Sarada, \(Boruto Series\)
Hanabi, \(Boruto Series\)
Himawari, \(Boruto Series\)
Mirai, \(Boruto Series\)
Chocho, \(Boruto Series\)
Hako, \(Boruto Series\)
Evileye, \(Overlord Series\)
Mitsuru Kirijo, \(Persona 3 Series\)
Mitsuru, \(Persona 3 Series\)
Aigis, \(Persona 3 Series\)
Yukari, \(Persona 3 Series\)
Elizabeth, \(Persona 3 Series\)
Fuuka, \(Persona 3 Series\)
Fuuka Yamagishi, \(Persona 3 Series\)
Chidori, \(Persona 3 Series\)
Chihiro, \(Persona 3 Series\)
Isako, \(Persona 3 Series\)
Metis, \(Persona 3 Series\)
Rio, \(Persona 3 Series\)
Yuko, \(Persona 3 Series\)
Androssi, \(Tower Of God Series\)
Rachel, \(Tower Of God Series\)
Yeon, \(Tower Of God Series\)
Pyra, \(Xenoblade Series\)
Mythra, \(Xenoblade Series\)
Nia, \(Xenoblade Series\)
Pneuma, \(Xenoblade Series\)
Pandoria, \(Xenoblade Series\)
Megumi, \(Konosuba Series\)
Aqua, \(Konosuba Series\)
Umiko, \(New Game! Series\)
Rukia, \(Bleach Series\)
Merlin, \(Seven Deadly Sins Series\)
Velma, \(Scooby Doo Series\)
Daphne, \(Scooby Doo Series\)
Starfire, \(Teen Titans Series\)
Raven, \(Teen Titans Series\)
Kim Possible, \(Kim Possible Series\)
Miranda Lawson, \(Mass Effect Series\)
Tali, \(Mass Effect Series\)
Liara, \(Mass Effect Series\)
Edi, \(Mass Effect Series\)
Samara, \(Mass Effect Series\)
Ashley, \(Mass Effect Series\)
Violet, \(The Incredibles Series\)
Helen, \(The Incredibles Series\)
Weiss Schnee, \(Rwby Series\)
Blake, \(Rwby Series\)
Ruby Rose, \(Rwby Series\)
Samsung Sam
Hitomi, \(Dead Or Alive Series\)
Princess Zelda, \(Zelda Series\)
Wonder Woman, \(Dc Comics Series\)
Claire Redfield, \(Resident Evil Series\)
Jill Valentine, \(Resident Evil Series\)
Ada Wong, \(Resident Evil Series\)
Ayane, \(Dead Or Alive Series\)
Marie Rose, \(Dead Or Alive Series\)
Kasumi, \(Dead Or Alive Series\)
Yennefer, \(The Witcher Series\)
Ciri, \(The Witcher Series\)
Triss, \(The Witcher Series\)
Shantae, \(Shantae Series\)
Elsa, \(Frozen Series\)
Anna, \(Frozen Series\)
Zero Two, \(Darling In The Franxx Series\)
Lara, \(Tomb Raider Series\)
Lara Croft, \(Tomb Raider Series\)
Shiro, \(Deadman Wonderland Series\)
Bayonetta
Asuka, \(Senran Kagura Series\)
Katsuragi, \(Senran Kagura Series\)
Yumi, \(Senran Kagura Series\)
Honoka, \(Senran Kagura Series\)
Hikage, \(Senran Kagura Series\)
Haruka, \(Senran Kagura Series\)
Homura, \(Senran Kagura Series\)
Hibari, \(Senran Kagura Series\)
Shiki, \(Senran Kagura Series\)
Miyabi, \(Senran Kagura Series\)
Yagyu, \(Senran Kagura Series\)
Yomi, \(Senran Kagura Series\)
Murakumo, \(Senran Kagura Series\)
Ayame, \(Senran Kagura Series\)
Mirai, \(Senran Kagura Series\)
Leo, \(Senran Kagura Series\)
Naraku, \(Senran Kagura Series\)
Hanabi, \(Senran Kagura Series\)
Kumi, \(Senran Kagura Series\)
Ibuki, \(Senran Kagura Series\)
Ashiya, \(Senran Kagura Series\)
Miki, \(Senran Kagura Series\)
Tsubaki, \(Senran Kagura Series\)
Reki, \(Senran Kagura Series\)
Sagiri, \(Eromanga-sensei Series\)
Elf, \(Eromanga-sensei Series\)
Tomoe, \(Eromanga-sensei Series\)
Megumi, \(Eromanga-sensei Series\)
Sayaka, \(Strike The Blood Series\)
Yukina, \(Strike The Blood Series\)
La Folia, \(Strike The Blood Series\)
Aiba, \(Strike The Blood Series\)
Natsuki, \(Strike The Blood Series\)
Reina, \(Strike The Blood Series\)
Nagisa, \(Strike The Blood Series\)
Kanon, \(Strike The Blood Series\)
Astarte, \(Strike The Blood Series\)
Irina, \(Assasination Classroom Series\)
Kaede, \(Assasination Classroom Series\)
Ritsu, \(Assasination Classroom Series\)
Rio, \(Assasination Classroom Series\)
Rinka, \(Assasination Classroom Series\)
Hinano, \(Assasination Classroom Series\)
Toph, \(Avatar Series\)
Ty Lee, \(Avatar Series\)
Katara, \(Avatar Series\)
Azula, \(Avatar Series\)
Suki, \(Avatar Series\)
Mai, \(Avatar Series\)
June, \(Avatar Series\)
Jin, \(Avatar Series\)
Maya, \(Ace Attorney Series\)
Mia, \(Ace Attorney Series\)
Franziska, \(Ace Attorney Series\)
Athena, \(Ace Attorney Series\)
Kay, \(Ace Attorney Series\)
Setsuna, \(Redo Of Healer Series\)
Flare, \(Redo Of Healer Series\)
Kureha, \(Redo Of Healer Series\)
Eve, \(Redo Of Healer Series\)
Norn, \(Redo Of Healer Series\)
Lapiz, \(Redo Of Healer Series\)
Sena, \(Boku Wa Tomodachi Ga Sukunai Series\)
Kobato, \(Boku Wa Tomodachi Ga Sukunai Series\)
Yozora, \(Boku Wa Tomodachi Ga Sukunai Series\)
Rika, \(Boku Wa Tomodachi Ga Sukunai Series\)
Yukimura, \(Boku Wa Tomodachi Ga Sukunai Series\)
Kate, \(Boku Wa Tomodachi Ga Sukunai Series\)
Maria, \(Boku Wa Tomodachi Ga Sukunai Series\)
Hinata, \(Boku Wa Tomodachi Ga Sukunai Series\)
Stella, \(Boku Wa Tomodachi Ga Sukunai Series\)
Aoi, \(Boku Wa Tomodachi Ga Sukunai Series\)
Karin, \(Boku Wa Tomodachi Ga Sukunai Series\)
Kongou, \(Kancolle Series\)
Shimakaze, \(Kancolle Series\)
Hibiki, \(Kancolle Series\)
Kashima, \(Kancolle Series\)
Hamakaze, \(Kancolle Series\)
Nagato, \(Kancolle Series\)
Haruna, \(Kancolle Series\)
Yamato, \(Kancolle Series\)
Iowa, \(Kancolle Series\)
Yuudachi, \(Kancolle Series\)
Amatsukaze, \(Kancolle Series\)
Bismarck, \(Kancolle Series\)
Ia, \(Vocaloid Series\)
Yui, \(Darker Than Black Series\)
Velvet, \(Tales Of Berserk Series\)
Emma, \(The Promised Neverland Series\)
Hermione Granger, \(Harry Potter Series\)
Luna Lovegood, \(Harry Potter Series\)
Ginny Weasley, \(Harry Potter Series\)
Daphne Greengrass, \(Harry Potter Series\)
Astoria Greengrass, \(Harry Potter Series\)
Hermione, \(Harry Potter Series\)
Luna, \(Harry Potter Series\)
Ginny, \(Harry Potter Series\)
Daphne, \(Harry Potter Series\)
Astoria, \(Harry Potter Series\)
Arcueid, \(Tsukihime Series\)
Hisui, \(Tsukihime Series\)
Emma Watson
Emilia Clarke
Makio, \(Demon Slayer Series\)
Carrie Fisher
Marilyn Monroe
Megan Fox
Natalie Portman
Jennie
Jennie, \(Blackpink Series\)
Lalisa
Lisa, \(Blackpink Series\)
Jisoo
Jisso, \(Blackpink Series\)
Rose
Rose, \(Blackpink Series\)
